1 , mapped-by-core-extra , 2048 x 2048 , 0.00347686 , 2.14577e-06 , 0.014617 , 0.0180988
2 , mapped-by-core-extra , 2048 x 2048 , 0.0106559 , 1.90735e-06 , 0.01056 , 0.0212209
3 , mapped-by-core-extra , 2048 x 2048 , 0.015703 , 3.09944e-06 , 0.00938797 , 0.0250969
4 , mapped-by-core-extra , 2048 x 2048 , 0.0200741 , 5.00679e-06 , 0.00820708 , 0.0282881
5 , mapped-by-core-extra , 2048 x 2048 , 0.02351 , 7.15256e-06 , 0.00891995 , 0.032439
1 , mapped-by-core-extra , 2048 x 2048 , 0.00349092 , 3.09944e-06 , 0.0144999 , 0.0179968
1 , mapped-by-core-extra , 2048 x 2048 , 0.003479 , 2.14577e-06 , 0.015012 , 0.018497
1 , mapped-by-core-extra , 2048 x 2048 , 0.00349593 , 3.09944e-06 , 0.014457 , 0.0179591
1 , mapped-by-core-extra , 2048 x 2048 , 0.00348186 , 2.14577e-06 , 0.0146079 , 0.0180938
1 , mapped-by-core-extra , 2048 x 2048 , 0.00348401 , 2.14577e-06 , 0.014456 , 0.017946
2 , mapped-by-core-extra , 2048 x 2048 , 0.0107939 , 4.05312e-06 , 0.0108261 , 0.0216279
2 , mapped-by-core-extra , 2048 x 2048 , 0.0103478 , 3.09944e-06 , 0.011241 , 0.0215929
2 , mapped-by-core-extra , 2048 x 2048 , 0.010529 , 1.90735e-06 , 0.0113192 , 0.0218511
2 , mapped-by-core-extra , 2048 x 2048 , 0.0110872 , 1.90735e-06 , 0.0102491 , 0.0213411
2 , mapped-by-core-extra , 2048 x 2048 , 0.0107691 , 3.09944e-06 , 0.0107579 , 0.0215311
3 , mapped-by-core-extra , 2048 x 2048 , 0.0159159 , 3.09944e-06 , 0.00919509 , 0.025115
3 , mapped-by-core-extra , 2048 x 2048 , 0.01559 , 1.00136e-05 , 0.00880909 , 0.024411
3 , mapped-by-core-extra , 2048 x 2048 , 0.0157299 , 5.00679e-06 , 0.00932002 , 0.0250571
3 , mapped-by-core-extra , 2048 x 2048 , 0.0157089 , 3.09944e-06 , 0.00920606 , 0.024919
3 , mapped-by-core-extra , 2048 x 2048 , 0.0157461 , 1.19209e-05 , 0.00867677 , 0.024436
4 , mapped-by-core-extra , 2048 x 2048 , 0.0206089 , 5.00679e-06 , 0.00866699 , 0.029284
4 , mapped-by-core-extra , 2048 x 2048 , 0.020287 , 5.00679e-06 , 0.00832081 , 0.0286169
4 , mapped-by-core-extra , 2048 x 2048 , 0.017447 , 3.09944e-06 , 0.00851798 , 0.025969
4 , mapped-by-core-extra , 2048 x 2048 , 0.0204442 , 2.86102e-06 , 0.00929904 , 0.029747
4 , mapped-by-core-extra , 2048 x 2048 , 0.0202279 , 3.09944e-06 , 0.00827599 , 0.0285079
5 , mapped-by-core-extra , 2048 x 2048 , 0.02354 , 1.38283e-05 , 0.00871301 , 0.0322709
5 , mapped-by-core-extra , 2048 x 2048 , 0.0205591 , 6.91414e-06 , 0.00809503 , 0.028662
5 , mapped-by-core-extra , 2048 x 2048 , 0.022613 , 5.00679e-06 , 0.0086031 , 0.0312231
5 , mapped-by-core-extra , 2048 x 2048 , 0.0235739 , 5.00679e-06 , 0.008533 , 0.032114
5 , mapped-by-core-extra , 2048 x 2048 , 0.0222669 , 7.15256e-06 , 0.00855613 , 0.030834
6 , mapped-by-core-extra , 2048 x 2048 , 0.021708 , 5.96046e-06 , 0.00899315 , 0.030709
6 , mapped-by-core-extra , 2048 x 2048 , 0.0273001 , 6.91414e-06 , 0.00906801 , 0.036376
6 , mapped-by-core-extra , 2048 x 2048 , 0.0238211 , 5.96046e-06 , 0.00882006 , 0.03265
6 , mapped-by-core-extra , 2048 x 2048 , 0.0246589 , 6.19888e-06 , 0.00864506 , 0.0333121
6 , mapped-by-core-extra , 2048 x 2048 , 0.0272949 , 3.09944e-06 , 0.00839305 , 0.035692
7 , mapped-by-core-extra , 2048 x 2048 , 0.0283968 , 3.09944e-06 , 0.008708 , 0.0371089
7 , mapped-by-core-extra , 2048 x 2048 , 0.0277798 , 3.09944e-06 , 0.008569 , 0.0363529
7 , mapped-by-core-extra , 2048 x 2048 , 0.025032 , 6.91414e-06 , 0.00771403 , 0.0327539
7 , mapped-by-core-extra , 2048 x 2048 , 0.0247529 , 7.15256e-06 , 0.0083251 , 0.033087
7 , mapped-by-core-extra , 2048 x 2048 , 0.0276461 , 5.96046e-06 , 0.00865698 , 0.0363128
8 , mapped-by-core-extra , 2048 x 2048 , 0.0284481 , 1.50204e-05 , 0.00797892 , 0.036443
8 , mapped-by-core-extra , 2048 x 2048 , 0.0257969 , 4.05312e-06 , 0.00792289 , 0.0337248
8 , mapped-by-core-extra , 2048 x 2048 , 0.0279679 , 9.05991e-06 , 0.00806689 , 0.036046
8 , mapped-by-core-extra , 2048 x 2048 , 0.0242479 , 5.96046e-06 , 0.00827694 , 0.0325339
8 , mapped-by-core-extra , 2048 x 2048 , 0.0318179 , 2.14577e-06 , 0.00831413 , 0.0401361
9 , mapped-by-core-extra , 2048 x 2048 , 0.027494 , 2.86102e-06 , 0.00823784 , 0.0357368
9 , mapped-by-core-extra , 2048 x 2048 , 0.0278521 , 6.91414e-06 , 0.00743413 , 0.0352941
9 , mapped-by-core-extra , 2048 x 2048 , 0.0264349 , 6.19888e-06 , 0.006984 , 0.033427
9 , mapped-by-core-extra , 2048 x 2048 , 0.025692 , 3.09944e-06 , 0.00718498 , 0.032881
9 , mapped-by-core-extra , 2048 x 2048 , 0.0243599 , 5.96046e-06 , 0.00774097 , 0.032109
10 , mapped-by-core-extra , 2048 x 2048 , 0.024462 , 6.91414e-06 , 0.00765085 , 0.0321229
10 , mapped-by-core-extra , 2048 x 2048 , 0.03124 , 5.96046e-06 , 0.00664806 , 0.0378978
10 , mapped-by-core-extra , 2048 x 2048 , 0.0264361 , 2.86102e-06 , 0.0065372 , 0.0329771
10 , mapped-by-core-extra , 2048 x 2048 , 0.024761 , 3.09944e-06 , 0.00719905 , 0.031965
10 , mapped-by-core-extra , 2048 x 2048 , 0.030067 , 6.91414e-06 , 0.00754809 , 0.0376239
11 , mapped-by-core-extra , 2048 x 2048 , 0.028578 , 3.09944e-06 , 0.00752401 , 0.0361061
11 , mapped-by-core-extra , 2048 x 2048 , 0.0266619 , 8.82149e-06 , 0.00670886 , 0.0333838
11 , mapped-by-core-extra , 2048 x 2048 , 0.027621 , 2.86102e-06 , 0.00748992 , 0.035115
11 , mapped-by-core-extra , 2048 x 2048 , 0.0294461 , 6.91414e-06 , 0.00682092 , 0.036278
11 , mapped-by-core-extra , 2048 x 2048 , 0.027451 , 6.91414e-06 , 0.0066421 , 0.0341029
12 , mapped-by-core-extra , 2048 x 2048 , 0.0265701 , 3.09944e-06 , 0.00702691 , 0.033603
12 , mapped-by-core-extra , 2048 x 2048 , 0.0294719 , 5.96046e-06 , 0.00680685 , 0.0362868
12 , mapped-by-core-extra , 2048 x 2048 , 0.0299609 , 9.05991e-06 , 0.00732803 , 0.0372999
12 , mapped-by-core-extra , 2048 x 2048 , 0.0291941 , 1.90735e-06 , 0.00661397 , 0.0358109
12 , mapped-by-core-extra , 2048 x 2048 , 0.0261929 , 7.86781e-06 , 0.00746489 , 0.0336668
13 , mapped-by-core-extra , 2048 x 2048 , 0.0274959 , 8.10623e-06 , 0.00670409 , 0.034209
13 , mapped-by-core-extra , 2048 x 2048 , 0.0266249 , 4.05312e-06 , 0.00674891 , 0.03338
13 , mapped-by-core-extra , 2048 x 2048 , 0.0267029 , 2.14577e-06 , 0.007267 , 0.0339739
13 , mapped-by-core-extra , 2048 x 2048 , 0.0269551 , 6.91414e-06 , 0.00647497 , 0.0334392
13 , mapped-by-core-extra , 2048 x 2048 , 0.030817 , 8.10623e-06 , 0.0072 , 0.038028
14 , mapped-by-core-extra , 2048 x 2048 , 0.030766 , 7.15256e-06 , 0.00690794 , 0.0376849
14 , mapped-by-core-extra , 2048 x 2048 , 0.025996 , 6.91414e-06 , 0.00755191 , 0.0335579
14 , mapped-by-core-extra , 2048 x 2048 , 0.0269701 , 8.10623e-06 , 0.00704598 , 0.0340261
14 , mapped-by-core-extra , 2048 x 2048 , 0.028229 , 6.91414e-06 , 0.006603 , 0.0348408
14 , mapped-by-core-extra , 2048 x 2048 , 0.0293589 , 5.96046e-06 , 0.00671005 , 0.036078
15 , mapped-by-core-extra , 2048 x 2048 , 0.0346971 , 7.15256e-06 , 0.00709295 , 0.0418
15 , mapped-by-core-extra , 2048 x 2048 , 0.0264659 , 1.90735e-06 , 0.00712585 , 0.033596
15 , mapped-by-core-extra , 2048 x 2048 , 0.0292599 , 7.15256e-06 , 0.00682592 , 0.0360949
15 , mapped-by-core-extra , 2048 x 2048 , 0.0311339 , 5.00679e-06 , 0.00673985 , 0.0378799
15 , mapped-by-core-extra , 2048 x 2048 , 0.0308292 , 2.86102e-06 , 0.00658917 , 0.0374222
16 , mapped-by-core-extra , 2048 x 2048 , 0.0279779 , 7.15256e-06 , 0.00668502 , 0.034672
16 , mapped-by-core-extra , 2048 x 2048 , 0.0295231 , 6.91414e-06 , 0.00642514 , 0.0359561
16 , mapped-by-core-extra , 2048 x 2048 , 0.027776 , 2.86102e-06 , 0.00717402 , 0.0349541
16 , mapped-by-core-extra , 2048 x 2048 , 0.0294111 , 6.91414e-06 , 0.006639 , 0.0360601
16 , mapped-by-core-extra , 2048 x 2048 , 0.0268781 , 5.96046e-06 , 0.00752187 , 0.034409
17 , mapped-by-core-extra , 2048 x 2048 , 0.0410089 , 5.00679e-06 , 0.00870609 , 0.049721
17 , mapped-by-core-extra , 2048 x 2048 , 0.038255 , 5.96046e-06 , 0.00861216 , 0.0468781
17 , mapped-by-core-extra , 2048 x 2048 , 0.0348361 , 3.8147e-06 , 0.0109079 , 0.0457499
17 , mapped-by-core-extra , 2048 x 2048 , 0.040622 , 5.00679e-06 , 0.0100002 , 0.0506282
17 , mapped-by-core-extra , 2048 x 2048 , 0.115764 , 3.09944e-06 , 0.00817895 , 0.123947
18 , mapped-by-core-extra , 2048 x 2048 , 0.039165 , 5.96046e-06 , 0.00897193 , 0.0481448
18 , mapped-by-core-extra , 2048 x 2048 , 0.154877 , 4.05312e-06 , 0.0303669 , 0.18525
18 , mapped-by-core-extra , 2048 x 2048 , 0.0354919 , 4.05312e-06 , 0.0106099 , 0.046108
18 , mapped-by-core-extra , 2048 x 2048 , 0.040374 , 3.09944e-06 , 0.00818896 , 0.048568
18 , mapped-by-core-extra , 2048 x 2048 , 0.0422981 , 6.91414e-06 , 0.00834894 , 0.0506549
19 , mapped-by-core-extra , 2048 x 2048 , 0.103366 , 7.15256e-06 , 0.00941992 , 0.112795
19 , mapped-by-core-extra , 2048 x 2048 , 0.0360951 , 3.8147e-06 , 0.00812793 , 0.0442281
19 , mapped-by-core-extra , 2048 x 2048 , 0.035991 , 5.00679e-06 , 0.00932288 , 0.045321
19 , mapped-by-core-extra , 2048 x 2048 , 1.80282 , 2.86102e-06 , 0.00951791 , 1.81235
19 , mapped-by-core-extra , 2048 x 2048 , 0.0384779 , 4.05312e-06 , 0.00992513 , 0.0484109
20 , mapped-by-core-extra , 2048 x 2048 , 0.0375428 , 3.09944e-06 , 0.011837 , 0.0493848
20 , mapped-by-core-extra , 2048 x 2048 , 0.0447459 , 5.00679e-06 , 0.00932193 , 0.054076
20 , mapped-by-core-extra , 2048 x 2048 , 0.0842941 , 4.05312e-06 , 0.0229111 , 0.107211
20 , mapped-by-core-extra , 2048 x 2048 , 0.0390968 , 5.00679e-06 , 0.012615 , 0.051718
20 , mapped-by-core-extra , 2048 x 2048 , 0.03828 , 4.05312e-06 , 0.0119791 , 0.0502651
21 , mapped-by-core-extra , 2048 x 2048 , 0.044102 , 5.00679e-06 , 0.00765491 , 0.0517669
21 , mapped-by-core-extra , 2048 x 2048 , 0.0363231 , 3.8147e-06 , 0.00988293 , 0.0462129
21 , mapped-by-core-extra , 2048 x 2048 , 0.0386181 , 4.05312e-06 , 0.011946 , 0.050571
21 , mapped-by-core-extra , 2048 x 2048 , 0.041198 , 3.8147e-06 , 0.00831389 , 0.0495179
21 , mapped-by-core-extra , 2048 x 2048 , 0.0453172 , 5.00679e-06 , 0.00945592 , 0.05478
22 , mapped-by-core-extra , 2048 x 2048 , 0.041296 , 6.91414e-06 , 0.00893593 , 0.0502419
22 , mapped-by-core-extra , 2048 x 2048 , 0.0399621 , 5.00679e-06 , 0.00879502 , 0.0487649
22 , mapped-by-core-extra , 2048 x 2048 , 0.044508 , 5.00679e-06 , 0.00845599 , 0.0529709
22 , mapped-by-core-extra , 2048 x 2048 , 0.0436611 , 6.91414e-06 , 0.00889301 , 0.052563
22 , mapped-by-core-extra , 2048 x 2048 , 0.0425799 , 5.00679e-06 , 0.00855613 , 0.0511429
23 , mapped-by-core-extra , 2048 x 2048 , 0.353826 , 2.14577e-06 , 0.103772 , 0.457603
23 , mapped-by-core-extra , 2048 x 2048 , 0.431479 , 2.14577e-06 , 0.0515289 , 0.483011
23 , mapped-by-core-extra , 2048 x 2048 , 0.150228 , 4.05312e-06 , 0.00848508 , 0.158719
23 , mapped-by-core-extra , 2048 x 2048 , 0.0907209 , 5.00679e-06 , 0.00906801 , 0.0997982
23 , mapped-by-core-extra , 2048 x 2048 , 0.443649 , 7.86781e-06 , 0.00928521 , 0.452943
24 , mapped-by-core-extra , 2048 x 2048 , 0.0448968 , 4.05312e-06 , 0.012759 , 0.0576618
24 , mapped-by-core-extra , 2048 x 2048 , 0.0435982 , 5.96046e-06 , 0.00863099 , 0.0522389
24 , mapped-by-core-extra , 2048 x 2048 , 0.0823541 , 6.91414e-06 , 0.00897193 , 0.0913351
24 , mapped-by-core-extra , 2048 x 2048 , 0.044266 , 5.96046e-06 , 0.011965 , 0.056242
24 , mapped-by-core-extra , 2048 x 2048 , 0.041394 , 1.00136e-05 , 0.00901389 , 0.05042
25 , mapped-by-core-extra , 2048 x 2048 , 0.173861 , 5.96046e-06 , 0.061554 , 0.235425
25 , mapped-by-core-extra , 2048 x 2048 , 0.189965 , 5.00679e-06 , 0.029458 , 0.219431
25 , mapped-by-core-extra , 2048 x 2048 , 0.160715 , 4.05312e-06 , 0.011101 , 0.171824
25 , mapped-by-core-extra , 2048 x 2048 , 0.043596 , 5.96046e-06 , 0.00886798 , 0.0524709
25 , mapped-by-core-extra , 2048 x 2048 , 0.10302 , 3.09944e-06 , 0.012202 , 0.115228
26 , mapped-by-core-extra , 2048 x 2048 , 0.474843 , 3.09944e-06 , 0.192894 , 0.667742
26 , mapped-by-core-extra , 2048 x 2048 , 0.199916 , 4.05312e-06 , 0.0361528 , 0.236076
26 , mapped-by-core-extra , 2048 x 2048 , 0.080493 , 7.15256e-06 , 0.00840902 , 0.088912
26 , mapped-by-core-extra , 2048 x 2048 , 0.754149 , 3.09944e-06 , 0.17715 , 0.931306
26 , mapped-by-core-extra , 2048 x 2048 , 1.6869 , 3.09944e-06 , 0.115124 , 1.80203
27 , mapped-by-core-extra , 2048 x 2048 , 0.348345 , 5.00679e-06 , 0.038765 , 0.387116
27 , mapped-by-core-extra , 2048 x 2048 , 0.43684 , 3.8147e-06 , 0.0139201 , 0.450766
27 , mapped-by-core-extra , 2048 x 2048 , 0.243363 , 3.8147e-06 , 0.074142 , 0.317512
27 , mapped-by-core-extra , 2048 x 2048 , 0.465826 , 3.09944e-06 , 0.305118 , 0.77095
27 , mapped-by-core-extra , 2048 x 2048 , 0.319396 , 3.09944e-06 , 0.0983701 , 0.417771
28 , mapped-by-core-extra , 2048 x 2048 , 0.262112 , 2.86102e-06 , 0.0351889 , 0.297306
28 , mapped-by-core-extra , 2048 x 2048 , 0.191521 , 4.76837e-06 , 0.010586 , 0.202114
28 , mapped-by-core-extra , 2048 x 2048 , 0.049052 , 4.05312e-06 , 0.013361 , 0.062418
28 , mapped-by-core-extra , 2048 x 2048 , 0.624134 , 5.00679e-06 , 0.08059 , 0.704732
28 , mapped-by-core-extra , 2048 x 2048 , 0.319878 , 8.10623e-06 , 0.00890589 , 0.328798
29 , mapped-by-core-extra , 2048 x 2048 , 0.0844071 , 5.96046e-06 , 0.009583 , 0.0939989
29 , mapped-by-core-extra , 2048 x 2048 , 0.310553 , 3.09944e-06 , 0.00925112 , 0.319811
29 , mapped-by-core-extra , 2048 x 2048 , 0.154248 , 6.19888e-06 , 0.0697691 , 0.224028
29 , mapped-by-core-extra , 2048 x 2048 , 0.341429 , 9.05991e-06 , 0.0106461 , 0.352089
29 , mapped-by-core-extra , 2048 x 2048 , 0.300241 , 6.19888e-06 , 0.075227 , 0.375478
30 , mapped-by-core-extra , 2048 x 2048 , 2.99463 , 3.09944e-06 , 0.174343 , 3.16898
30 , mapped-by-core-extra , 2048 x 2048 , 0.37315 , 3.09944e-06 , 0.0568941 , 0.430048
30 , mapped-by-core-extra , 2048 x 2048 , 0.764075 , 5.00679e-06 , 0.025948 , 0.790031
30 , mapped-by-core-extra , 2048 x 2048 , 1.86939 , 4.05312e-06 , 0.100718 , 1.97011
30 , mapped-by-core-extra , 2048 x 2048 , 0.466945 , 4.05312e-06 , 0.0470202 , 0.513971
31 , mapped-by-core-extra , 2048 x 2048 , 0.977404 , 5.00679e-06 , 0.0321062 , 1.00952
31 , mapped-by-core-extra , 2048 x 2048 , 0.187407 , 5.00679e-06 , 0.034759 , 0.222174
31 , mapped-by-core-extra , 2048 x 2048 , 1.75823 , 3.09944e-06 , 0.334112 , 2.09235
31 , mapped-by-core-extra , 2048 x 2048 , 1.05653 , 3.09944e-06 , 0.160505 , 1.21705
