129 , mapped-by-core_5 , 4096 x 4096 , 0.684661 , 0.000118971 , 1.0667 , 1.75148
129 , mapped-by-core_5 , 4096 x 4096 , 0.579893 , 0.000113964 , 1.15522 , 1.73523
129 , mapped-by-core_5 , 4096 x 4096 , 0.581824 , 0.000108957 , 0.68975 , 1.27168
129 , mapped-by-core_5 , 4096 x 4096 , 0.529437 , 0.000115156 , 0.99928 , 1.52883
129 , mapped-by-core_5 , 4096 x 4096 , 0.538153 , 0.00011301 , 1.3075 , 1.84577
130 , mapped-by-core_5 , 4096 x 4096 , 0.50096 , 0.000110865 , 1.0708 , 1.57187
130 , mapped-by-core_5 , 4096 x 4096 , 0.634134 , 0.000105143 , 1.5045 , 2.13874
130 , mapped-by-core_5 , 4096 x 4096 , 0.712717 , 0.000109911 , 1.13848 , 1.85131
130 , mapped-by-core_5 , 4096 x 4096 , 0.518231 , 0.000110865 , 0.832557 , 1.3509
130 , mapped-by-core_5 , 4096 x 4096 , 0.487823 , 8.39233e-05 , 1.50675 , 1.99466
131 , mapped-by-core_5 , 4096 x 4096 , 0.548331 , 0.00011301 , 1.56795 , 2.11639
131 , mapped-by-core_5 , 4096 x 4096 , 0.472153 , 0.00011301 , 1.34738 , 1.81965
131 , mapped-by-core_5 , 4096 x 4096 , 0.485049 , 0.000118971 , 1.11935 , 1.60452
131 , mapped-by-core_5 , 4096 x 4096 , 0.549105 , 0.00010705 , 1.26827 , 1.81748
131 , mapped-by-core_5 , 4096 x 4096 , 0.55263 , 0.00011611 , 1.41932 , 1.97207
132 , mapped-by-core_5 , 4096 x 4096 , 0.520126 , 0.000106812 , 1.05583 , 1.57606
132 , mapped-by-core_5 , 4096 x 4096 , 0.487836 , 0.000118017 , 1.38215 , 1.87011
132 , mapped-by-core_5 , 4096 x 4096 , 0.505412 , 0.000109911 , 1.33336 , 1.83889
132 , mapped-by-core_5 , 4096 x 4096 , 0.537995 , 0.00011611 , 1.41641 , 1.95453
132 , mapped-by-core_5 , 4096 x 4096 , 0.490561 , 0.000112057 , 1.00333 , 1.49401
133 , mapped-by-core_5 , 4096 x 4096 , 0.610468 , 0.000114918 , 1.14574 , 1.75633
133 , mapped-by-core_5 , 4096 x 4096 , 0.510129 , 0.000114202 , 1.07215 , 1.58239
133 , mapped-by-core_5 , 4096 x 4096 , 0.521287 , 0.000115871 , 1.13457 , 1.65597
133 , mapped-by-core_5 , 4096 x 4096 , 0.550404 , 0.000114918 , 1.111 , 1.66152
133 , mapped-by-core_5 , 4096 x 4096 , 0.58162 , 0.00011301 , 1.10637 , 1.6881
134 , mapped-by-core_5 , 4096 x 4096 , 0.548771 , 0.000115871 , 1.35175 , 1.90064
134 , mapped-by-core_5 , 4096 x 4096 , 0.922461 , 0.000112057 , 1.28991 , 2.21248
134 , mapped-by-core_5 , 4096 x 4096 , 0.493972 , 0.000120878 , 1.10338 , 1.59747
134 , mapped-by-core_5 , 4096 x 4096 , 0.724357 , 0.000111103 , 1.18067 , 1.90514
134 , mapped-by-core_5 , 4096 x 4096 , 0.58372 , 0.000110865 , 1.36577 , 1.9496
135 , mapped-by-core_5 , 4096 x 4096 , 0.633618 , 0.000102997 , 1.17945 , 1.81318
135 , mapped-by-core_5 , 4096 x 4096 , 0.505396 , 0.000108957 , 1.36093 , 1.86644
135 , mapped-by-core_5 , 4096 x 4096 , 0.535807 , 0.000110865 , 1.39388 , 1.9298
135 , mapped-by-core_5 , 4096 x 4096 , 0.59605 , 0.00011301 , 1.21103 , 1.80719
135 , mapped-by-core_5 , 4096 x 4096 , 0.606356 , 0.000109911 , 1.25907 , 1.86554
136 , mapped-by-core_5 , 4096 x 4096 , 0.575228 , 0.000103951 , 1.3154 , 1.89073
136 , mapped-by-core_5 , 4096 x 4096 , 0.61292 , 0.000110865 , 1.20636 , 1.81939
136 , mapped-by-core_5 , 4096 x 4096 , 0.579635 , 0.000115156 , 1.14945 , 1.7292
136 , mapped-by-core_5 , 4096 x 4096 , 0.674603 , 0.000110865 , 1.31497 , 1.98968
136 , mapped-by-core_5 , 4096 x 4096 , 0.638167 , 0.000118017 , 1.60303 , 2.24131
137 , mapped-by-core_5 , 4096 x 4096 , 0.692531 , 0.000113964 , 1.16831 , 1.86096
137 , mapped-by-core_5 , 4096 x 4096 , 0.552657 , 0.000108957 , 1.34273 , 1.89549
137 , mapped-by-core_5 , 4096 x 4096 , 0.552654 , 0.000109196 , 1.20115 , 1.75392
137 , mapped-by-core_5 , 4096 x 4096 , 0.55461 , 0.000118971 , 1.52856 , 2.08329
137 , mapped-by-core_5 , 4096 x 4096 , 0.528835 , 0.000118971 , 1.3436 , 1.87256
138 , mapped-by-core_5 , 4096 x 4096 , 0.527692 , 0.000109911 , 1.1716 , 1.69941
138 , mapped-by-core_5 , 4096 x 4096 , 0.523866 , 0.000114918 , 1.21684 , 1.74082
138 , mapped-by-core_5 , 4096 x 4096 , 0.510069 , 0.000118971 , 1.38251 , 1.8927
138 , mapped-by-core_5 , 4096 x 4096 , 0.59275 , 0.00010705 , 1.14655 , 1.73941
138 , mapped-by-core_5 , 4096 x 4096 , 0.591965 , 0.000110865 , 1.28595 , 1.87802
139 , mapped-by-core_5 , 4096 x 4096 , 0.633281 , 0.000111103 , 1.41153 , 2.04492
139 , mapped-by-core_5 , 4096 x 4096 , 0.711333 , 0.000108004 , 1.20419 , 1.91563
139 , mapped-by-core_5 , 4096 x 4096 , 0.67587 , 0.000115871 , 1.16558 , 1.84157
139 , mapped-by-core_5 , 4096 x 4096 , 0.520564 , 8.39233e-05 , 1.13622 , 1.65687
139 , mapped-by-core_5 , 4096 x 4096 , 0.535859 , 0.000115871 , 1.14669 , 1.68267
140 , mapped-by-core_5 , 4096 x 4096 , 0.697934 , 0.000114918 , 1.30992 , 2.00797
140 , mapped-by-core_5 , 4096 x 4096 , 0.572358 , 0.000112772 , 1.24803 , 1.8205
140 , mapped-by-core_5 , 4096 x 4096 , 0.55923 , 0.000113964 , 1.3745 , 1.93385
140 , mapped-by-core_5 , 4096 x 4096 , 0.598428 , 0.000106096 , 1.1228 , 1.72133
140 , mapped-by-core_5 , 4096 x 4096 , 0.556638 , 0.000119925 , 1.12592 , 1.68268
141 , mapped-by-core_5 , 4096 x 4096 , 0.573363 , 0.000108004 , 1.12893 , 1.7024
141 , mapped-by-core_5 , 4096 x 4096 , 0.54937 , 0.000121117 , 1.14345 , 1.69295
141 , mapped-by-core_5 , 4096 x 4096 , 0.495445 , 0.000111103 , 0.931104 , 1.42666
141 , mapped-by-core_5 , 4096 x 4096 , 0.855565 , 0.00010705 , 1.11626 , 1.97193
141 , mapped-by-core_5 , 4096 x 4096 , 0.738596 , 0.000106812 , 1.1534 , 1.8921
142 , mapped-by-core_5 , 4096 x 4096 , 0.884676 , 0.000113964 , 1.25875 , 2.14354
142 , mapped-by-core_5 , 4096 x 4096 , 0.607516 , 0.000116825 , 1.40518 , 2.01282
142 , mapped-by-core_5 , 4096 x 4096 , 0.55171 , 0.000118017 , 1.1231 , 1.67493
142 , mapped-by-core_5 , 4096 x 4096 , 0.544487 , 0.000116825 , 0.949866 , 1.49447
142 , mapped-by-core_5 , 4096 x 4096 , 0.550786 , 0.000111103 , 1.12565 , 1.67656
143 , mapped-by-core_5 , 4096 x 4096 , 0.62159 , 0.000106096 , 1.14811 , 1.76981
143 , mapped-by-core_5 , 4096 x 4096 , 0.665724 , 0.000118017 , 0.93471 , 1.60055
143 , mapped-by-core_5 , 4096 x 4096 , 0.619847 , 0.000108957 , 1.52043 , 2.14039
143 , mapped-by-core_5 , 4096 x 4096 , 0.540431 , 0.000116825 , 1.09694 , 1.63749
143 , mapped-by-core_5 , 4096 x 4096 , 0.698958 , 0.000109196 , 1.19334 , 1.89241
144 , mapped-by-core_5 , 4096 x 4096 , 0.630797 , 0.000114918 , 1.14449 , 1.77541
144 , mapped-by-core_5 , 4096 x 4096 , 0.598678 , 0.000113964 , 1.33563 , 1.93443
144 , mapped-by-core_5 , 4096 x 4096 , 0.522988 , 0.000120163 , 1.31597 , 1.83908
144 , mapped-by-core_5 , 4096 x 4096 , 0.532764 , 0.000115156 , 1.08648 , 1.61936
144 , mapped-by-core_5 , 4096 x 4096 , 0.511802 , 9.10759e-05 , 1.08915 , 1.60105
145 , mapped-by-core_5 , 4096 x 4096 , 0.53862 , 0.000130892 , 1.27078 , 1.80953
145 , mapped-by-core_5 , 4096 x 4096 , 0.545994 , 0.000123024 , 1.13648 , 1.68259
145 , mapped-by-core_5 , 4096 x 4096 , 0.526793 , 0.000109911 , 1.33675 , 1.86365
145 , mapped-by-core_5 , 4096 x 4096 , 0.549737 , 0.000120163 , 1.28818 , 1.83804
145 , mapped-by-core_5 , 4096 x 4096 , 0.81483 , 0.00011301 , 1.06235 , 1.8773
146 , mapped-by-core_5 , 4096 x 4096 , 0.51678 , 0.000117064 , 0.898287 , 1.41519
146 , mapped-by-core_5 , 4096 x 4096 , 0.518926 , 0.000109911 , 1.29465 , 1.81368
146 , mapped-by-core_5 , 4096 x 4096 , 0.514336 , 0.000112057 , 1.1559 , 1.67036
146 , mapped-by-core_5 , 4096 x 4096 , 0.504561 , 0.00011611 , 1.16026 , 1.66494
146 , mapped-by-core_5 , 4096 x 4096 , 0.575428 , 0.000118971 , 0.895547 , 1.47109
147 , mapped-by-core_5 , 4096 x 4096 , 0.947479 , 0.000109196 , 1.21686 , 2.16445
147 , mapped-by-core_5 , 4096 x 4096 , 0.720843 , 0.000109911 , 1.39804 , 2.11899
147 , mapped-by-core_5 , 4096 x 4096 , 0.496504 , 0.000120878 , 1.08785 , 1.58448
147 , mapped-by-core_5 , 4096 x 4096 , 0.558488 , 0.000120878 , 0.659441 , 1.21805
147 , mapped-by-core_5 , 4096 x 4096 , 0.624607 , 0.000114918 , 1.18043 , 1.80515
148 , mapped-by-core_5 , 4096 x 4096 , 0.604552 , 0.000113964 , 1.30022 , 1.90489
148 , mapped-by-core_5 , 4096 x 4096 , 0.612382 , 0.000117064 , 1.29933 , 1.91183
148 , mapped-by-core_5 , 4096 x 4096 , 0.526145 , 0.000123024 , 1.06527 , 1.59154
148 , mapped-by-core_5 , 4096 x 4096 , 0.558233 , 0.000116825 , 1.35002 , 1.90837
148 , mapped-by-core_5 , 4096 x 4096 , 0.605835 , 0.000118971 , 1.23203 , 1.83799
149 , mapped-by-core_5 , 4096 x 4096 , 0.652417 , 0.000113964 , 1.18748 , 1.84002
149 , mapped-by-core_5 , 4096 x 4096 , 0.858722 , 0.000114202 , 1.3993 , 2.25814
149 , mapped-by-core_5 , 4096 x 4096 , 0.577383 , 0.000118971 , 0.973644 , 1.55115
149 , mapped-by-core_5 , 4096 x 4096 , 0.561242 , 0.000109196 , 1.54541 , 2.10676
149 , mapped-by-core_5 , 4096 x 4096 , 0.576888 , 0.000108004 , 0.889383 , 1.46638
150 , mapped-by-core_5 , 4096 x 4096 , 0.492322 , 0.000108004 , 1.12979 , 1.62222
150 , mapped-by-core_5 , 4096 x 4096 , 0.564071 , 0.00013113 , 1.1081 , 1.6723
150 , mapped-by-core_5 , 4096 x 4096 , 0.73412 , 0.000113964 , 1.51839 , 2.25262
150 , mapped-by-core_5 , 4096 x 4096 , 0.53393 , 0.00011301 , 1.17205 , 1.70609
150 , mapped-by-core_5 , 4096 x 4096 , 0.51565 , 9.08375e-05 , 1.15999 , 1.67573
151 , mapped-by-core_5 , 4096 x 4096 , 0.539853 , 0.00012207 , 1.13544 , 1.67542
151 , mapped-by-core_5 , 4096 x 4096 , 0.514237 , 0.000109196 , 1.31727 , 1.83162
151 , mapped-by-core_5 , 4096 x 4096 , 0.523608 , 0.000109196 , 1.14778 , 1.67149
151 , mapped-by-core_5 , 4096 x 4096 , 0.505038 , 0.000119209 , 1.12432 , 1.62948
151 , mapped-by-core_5 , 4096 x 4096 , 0.518541 , 0.000121117 , 1.32339 , 1.84206
152 , mapped-by-core_5 , 4096 x 4096 , 0.580786 , 0.000111818 , 1.48383 , 2.06473
152 , mapped-by-core_5 , 4096 x 4096 , 0.615186 , 0.000111818 , 1.33039 , 1.94569
152 , mapped-by-core_5 , 4096 x 4096 , 0.528389 , 0.000118971 , 1.13112 , 1.65963
152 , mapped-by-core_5 , 4096 x 4096 , 0.534106 , 0.000120163 , 1.14072 , 1.67494
152 , mapped-by-core_5 , 4096 x 4096 , 0.609076 , 0.000116825 , 1.03989 , 1.64908
153 , mapped-by-core_5 , 4096 x 4096 , 0.50568 , 0.000114202 , 1.14538 , 1.65117
153 , mapped-by-core_5 , 4096 x 4096 , 0.544987 , 9.70364e-05 , 1.13339 , 1.67848
153 , mapped-by-core_5 , 4096 x 4096 , 0.60249 , 8.29697e-05 , 1.15183 , 1.7544
153 , mapped-by-core_5 , 4096 x 4096 , 0.506083 , 0.000112057 , 1.17729 , 1.68348
153 , mapped-by-core_5 , 4096 x 4096 , 0.588248 , 0.000112057 , 1.14261 , 1.73097
154 , mapped-by-core_5 , 4096 x 4096 , 0.549086 , 0.00012517 , 1.12389 , 1.6731
154 , mapped-by-core_5 , 4096 x 4096 , 0.723965 , 0.00010705 , 1.23283 , 1.9569
154 , mapped-by-core_5 , 4096 x 4096 , 0.661125 , 0.000105858 , 1.24367 , 1.90491
154 , mapped-by-core_5 , 4096 x 4096 , 0.597738 , 0.000112057 , 1.25873 , 1.85658
154 , mapped-by-core_5 , 4096 x 4096 , 0.526065 , 0.000108957 , 1.21585 , 1.74203
155 , mapped-by-core_5 , 4096 x 4096 , 0.882071 , 0.00010705 , 0.959115 , 1.8413
155 , mapped-by-core_5 , 4096 x 4096 , 0.536777 , 0.000112057 , 1.15029 , 1.68718
155 , mapped-by-core_5 , 4096 x 4096 , 0.659938 , 0.000118017 , 1.30517 , 1.96523
155 , mapped-by-core_5 , 4096 x 4096 , 0.576013 , 0.000117064 , 1.15797 , 1.7341
155 , mapped-by-core_5 , 4096 x 4096 , 0.637637 , 0.000109911 , 1.31305 , 1.9508
156 , mapped-by-core_5 , 4096 x 4096 , 0.516457 , 0.000113964 , 1.151 , 1.66757
156 , mapped-by-core_5 , 4096 x 4096 , 0.54122 , 0.000110149 , 1.35773 , 1.89906
156 , mapped-by-core_5 , 4096 x 4096 , 0.609945 , 0.000114918 , 1.27471 , 1.88478
156 , mapped-by-core_5 , 4096 x 4096 , 0.538431 , 0.000109196 , 1.08835 , 1.62689
156 , mapped-by-core_5 , 4096 x 4096 , 0.693981 , 0.000113964 , 1.18763 , 1.88173
157 , mapped-by-core_5 , 4096 x 4096 , 0.535858 , 0.00011301 , 1.16976 , 1.70573
157 , mapped-by-core_5 , 4096 x 4096 , 0.772397 , 0.00010705 , 1.23992 , 2.01243
157 , mapped-by-core_5 , 4096 x 4096 , 0.622693 , 0.000111103 , 1.23194 , 1.85474
157 , mapped-by-core_5 , 4096 x 4096 , 0.538601 , 0.000118971 , 1.14763 , 1.68636
157 , mapped-by-core_5 , 4096 x 4096 , 0.667848 , 0.00011301 , 1.26428 , 1.93225
158 , mapped-by-core_5 , 4096 x 4096 , 0.545942 , 0.000108004 , 1.15698 , 1.70303
158 , mapped-by-core_5 , 4096 x 4096 , 0.713237 , 0.000106096 , 1.26182 , 1.97517
158 , mapped-by-core_5 , 4096 x 4096 , 0.514517 , 0.000113964 , 1.24808 , 1.76271
158 , mapped-by-core_5 , 4096 x 4096 , 0.54642 , 0.000112057 , 1.14155 , 1.68809
158 , mapped-by-core_5 , 4096 x 4096 , 0.627152 , 0.000117064 , 1.31948 , 1.94675
159 , mapped-by-core_5 , 4096 x 4096 , 0.544629 , 0.000111103 , 1.08638 , 1.63112
159 , mapped-by-core_5 , 4096 x 4096 , 0.726082 , 0.000112057 , 1.07424 , 1.80044
159 , mapped-by-core_5 , 4096 x 4096 , 0.611108 , 0.000111103 , 1.22221 , 1.83344
159 , mapped-by-core_5 , 4096 x 4096 , 0.60992 , 0.000114918 , 1.08559 , 1.69563
159 , mapped-by-core_5 , 4096 x 4096 , 0.647721 , 0.000113964 , 1.2029 , 1.85074
160 , mapped-by-core_5 , 4096 x 4096 , 0.539191 , 0.000110865 , 1.10696 , 1.64627
160 , mapped-by-core_5 , 4096 x 4096 , 0.516502 , 0.000118017 , 1.04928 , 1.5659
160 , mapped-by-core_5 , 4096 x 4096 , 0.522882 , 0.000118017 , 1.16028 , 1.68328
160 , mapped-by-core_5 , 4096 x 4096 , 0.527253 , 0.000103951 , 1.18347 , 1.71083
160 , mapped-by-core_5 , 4096 x 4096 , 0.526443 , 0.000114202 , 1.17367 , 1.70024
